"","spScName"
"846","Ceblepyris pectoralis"
"847","Cecropis abyssinica"
"848","Cecropis cucullata"
"849","Cecropis semirufa"
"850","Cecropis senegalensis"
"851","Ceiba pentandra"
"852","Celosia argentea"
"853","Celtis gomphophylla"
"854","Celtis mildbraedii"
"855","Celtis philippensis"
"856","Celtis zenkeri"
"857","Cenchrus geniculatus"
"858","Cenchrus hordeoides"
"859","Cenchrus macrourus"
"860","Cenchrus polystachios"
"861","Cenchrus purpureus"
"862","Cenchrus sieberianus"
"863","Centella asiatica"
"864","Centipeda minima"
"865","Centrarchops chapini"
"866","Centrobranchus nigroocellatus"
"867","Centrolophus niger"
"868","Centrophorus uyato"
"869","Centropus anselli"
"870","Centropus cupreicaudus"
"871","Centropus grillii"
"872","Centropus monachus"
"873","Centropus senegalensis"
"874","Centropus superciliosus"
"875","Centroselachus crepidater"
"876","Cephalopholis nigri"
"877","Cephalopholis taeniops"
"878","Cephalophus dorsalis"
"879","Cephalophus nigrifrons"
"880","Cephalophus silvicultor"
"881","Cephalorhynchus heavisidii"
"882","Cepola pauciradiata"
"883","Ceratias holboelli"
"884","Ceratias uranoscopus"
"885","Ceratogymna atrata"
"886","Ceratophyllum demersum"
"887","Ceratopteris cornuta"
"888","Ceratopteris thalictroides"
"889","Ceratoscopelus townsendi"
"890","Ceratoscopelus warmingii"
"891","Cerautola crowleyi"
"892","Cercestis congensis"
"893","Cercococcyx mechowi"
"894","Cercococcyx olivinus"
"895","Cercopithecus ascanius"
"896","Cercopithecus ascanius ssp. ascanius"
"897","Cercopithecus ascanius ssp. atrinasus"
"898","Cercopithecus ascanius ssp. katangae"
"899","Cercopithecus cephus"
"900","Cercopithecus cephus ssp. cephodes"
"901","Cercopithecus mitis"
"902","Cercopithecus mitis ssp. mitis"
"903","Cercopithecus mitis ssp. opisthostictus"
"904","Cercopithecus neglectus"
"905","Cercopithecus nictitans ssp. nictitans"
"906","Cercopithecus pogonias"
"907","Cercopithecus pogonias ssp. nigripes"
"908","Cercotrichas hartlaubi"
"909","Cercotrichas leucophrys"
"910","Cercotrichas paena"
"911","Ceriagrion annulatum"
"912","Ceriagrion corallinum"
"913","Ceriagrion glabrum"
"914","Ceriagrion junceum"
"915","Ceriagrion platystigma"
"916","Ceriagrion sakejii"
"917","Ceriagrion suave"
"918","Ceriagrion whellani"
"919","Certhilauda curvirostris"
"920","Certhilauda subcoronata"
"921","Ceryle rudis"
"922","Cetonurus globiceps"
"923","Cetorhinus maximus"
"924","Cetostoma regani"
"925","Ceuthmochares aereus"
"926","Chaenophryne draco"
"927","Chaenophryne ramifera"
"928","Chaerephon ansorgei"
"929","Chaerephon chapini"
"930","Chaerephon nigeriae"
"931","Chaerephon pumilus"
"932","Chaetachme aristata"
"933","Chaetocarpus africanus"
"934","Chaetodipterus lippei"
"935","Chalcomitra amethystina"
"936","Chalcomitra fuliginosa"
"937","Chalcomitra rubescens"
"938","Chalcomitra senegalensis"
"939","Chalcostephia flavifrons"
"940","Chamaecrista absus"
"941","Chamaecrista fenarolii"
"942","Chamaecrista kirkii"
"943","Chamaecrista mimosoides"
"944","Chamaecrista newtonii"
"945","Chamaeleo anchietae"
