"","spScName"
"901","Cyperus maculatus"
"902","Cyperus melas"
"903","Cyperus mundii"
"904","Cyperus nitidus"
"905","Cyperus nutans"
"906","Cyperus odoratus"
"907","Cyperus papyrus"
"908","Cyperus pectinatus"
"909","Cyperus pilosus"
"910","Cyperus polystachyos"
"911","Cyperus prieurianus"
"912","Cyperus proteus"
"913","Cyperus pumilus"
"914","Cyperus pustulatus"
"915","Cyperus reduncus"
"916","Cyperus rotundus"
"917","Cyperus sanguinolentus"
"918","Cyperus sesquiflorus"
"919","Cyperus squarrosus"
"920","Cyperus submicrolepis"
"921","Cyperus tenuiculmis"
"922","Cyperus tenuis"
"923","Cyperus tenuispica"
"924","Cyperus tonkinensis"
"925","Cyperus tuberosus"
"926","Cyphomyrus psittacus"
"927","Cypsiurus parvus"
"928","Cyrenoida dupontia"
"929","Cyrestis camillus"
"930","Cyttopsis rosea"
"931","Dacryodes klaineana"
"932","Dactylopterus volitans"
"933","Dagetichthys lusitanica"
"934","Dalatias licha"
"935","Dalbergia afzeliana"
"936","Dalbergia boehmii"
"937","Dalbergia ecastaphyllum"
"938","Dalbergia heudelotii"
"939","Dalbergia hostilis"
"940","Dalbergia louisii"
"941","Dalbergia oblongifolia"
"942","Dalbergia rufa"
"943","Dalbergia saxatilis"
"944","Dalophis boulengeri"
"945","Dalophis cephalopeltis"
"946","Damaliscus lunatus"
"947","Damaliscus lunatus ssp. korrigum"
"948","Danaus chrysippus"
"949","Daniellia ogea"
"950","Daniellia oliveri"
"951","Dasyatis marmorata"
"952","Dasymys rufulus"
"953","Dasypeltis gansi"
"954","Decapterus macarellus"
"955","Decapterus punctatus"
"956","Delichon urbicum"
"957","Delphinus delphis"
"958","Dendroaspis viridis"
